Username,Review,Media,Rating,Date
a***a,"Awalnya agak skeptis ya pas dengar variant ini reformulated, takut aromanya ngga seenak yang variant pertama. TAPIII, saya kaget banget pas semprot sekali di baju, karena...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Leandro,"baru coba produk dari Project 1945 dan saya sangat terkesan karena mulai dari pelayanan, kualitas packaging, hingga produknya sangat bagus. untuk varian Sunset in Sumba 2...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Eri,"wangi nya enak ternyata, pengiriman cepat dan aman bgt pake buble wrap+kotak kardus lagi. Hadiah kecil buat bokap, ternyata suka wangi nya. thanks",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
L***r,"wanginya enak banget, scent notenya sesuai deskripsi. Kotak kemasannya bagus, dapet voucher diskon 45k utk pembelian berikutnya. longevitynya juga bagus. sayang pengirima...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
e***i,"produk sesuai, pengiriman cepat, dapet voucher untuk pembelian berikutnya. packaging kardus coklatnya bisa lebih compact lagi kak karna sampe rumah sudah penyok dan bolon...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
R***l,"Baru semprot sekali. Sekilas aromanya lebih sopan dari Sumba 1.0; aroma jeruk dan apelnya lebih kerasa dikit di top notes, dan sekarang aroma pedasnya ga terlalu nyegrak...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,7 bulan lalu
P***l,"Setelah coba The Great Batavia, yg wangi nya agak woody dan sesuai ekspektasi. Gak pake lama langsung pake promo code nya buat coba Sunset in Sumba yg ternyata sama enak...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Priladitya,"smooth bgt wangi nya, kayak semua nya nyampur jd 1 kesatuan wangi yg nikmat. bukan tipe parfum yg wangi nya agresif, ini sopan, agak tipis tp hadir terus. Cocok bgt untuk...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Dava,Banyak yang bilang lebih cocok untuk malam tapi nyatanya cocok buat keseharian dan cuman notes awalnya saja yang strong sehabis itu halus.,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,4 bulan lalu
Muhsiniin,"Suka banget! Untuk Sunset in Sumba 2.0 ini sebenarnya tidak terlalu jauh berbeda dari yang 1.0, which is a good thing! Karena di versi 1.0 sering dapat compliment. Tapi r...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
